n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
422,8.89719e+006,535520,7.509e+006,8.5135e+006,9.0105e+006,9.03e+006,1.0058e+007
424,8.80475e+006,615897,7.506e+006,8.49825e+006,9.009e+006,9.02525e+006,1.0049e+007
426,9.08244e+006,519130,8.117e+006,8.85875e+006,9.0195e+006,9.14675e+006,1.0107e+007
428,8.95616e+006,647776,7.482e+006,8.52075e+006,9.017e+006,9.048e+006,1.1052e+007
430,9.43022e+006,943485,8.095e+006,8.96775e+006,9.039e+006,1.00202e+007,1.2559e+007
432,9.01869e+006,575138,8.01e+006,8.51425e+006,8.9895e+006,9.50425e+006,1.0147e+007
434,9.71519e+006,1.42375e+006,8.049e+006,9.01675e+006,9.116e+006,1.00212e+007,1.4524e+007
436,9.25619e+006,587583,8.004e+006,8.9695e+006,9.1545e+006,9.557e+006,1.0374e+007
438,9.54669e+006,624096,8.505e+006,9.0165e+006,9.517e+006,1.0021e+007,1.1217e+007
440,9.94512e+006,721869,8.574e+006,9.49775e+006,1.00215e+007,1.031e+007,1.2045e+007
442,9.92462e+006,572729,8.514e+006,9.76025e+006,1.00185e+007,1.0056e+007,1.1023e+007
444,1.00481e+007,667264,8.882e+006,9.711e+006,1.00185e+007,1.01532e+007,1.1528e+007
446,1.03913e+007,720930,9.507e+006,1.00198e+007,1.0027e+007,1.06815e+007,1.2503e+007
448,1.01421e+007,436768,9.018e+006,1.00165e+007,1.0025e+007,1.01102e+007,1.153e+007
450,1.00892e+007,458274,9.013e+006,1.0015e+007,1.002e+007,1.00302e+007,1.1051e+007
452,1.02502e+007,539226,9.018e+006,1.0018e+007,1.00315e+007,1.05105e+007,1.1532e+007
454,1.00937e+007,683380,9.01e+006,9.74975e+006,1.0016e+007,1.05068e+007,1.153e+007
456,1.03683e+007,447759,9.526e+006,1.00208e+007,1.0263e+007,1.06695e+007,1.1044e+007
458,1.05083e+007,488981,9.488e+006,1.0042e+007,1.0505e+007,1.10162e+007,1.1495e+007
460,1.03457e+007,818194,9e+006,1.00172e+007,1.0028e+007,1.0515e+007,1.4016e+007
462,1.03782e+007,607862,8.523e+006,1.00308e+007,1.0162e+007,1.10018e+007,1.1552e+007
464,1.05529e+007,544395,9.926e+006,1.00442e+007,1.0523e+007,1.10285e+007,1.1567e+007
466,1.0591e+007,587519,1.0005e+007,1.00342e+007,1.0505e+007,1.1018e+007,1.2109e+007
468,1.10274e+007,1.59325e+006,9.502e+006,1.0078e+007,1.08535e+007,1.10442e+007,1.7928e+007
470,1.07943e+007,708051,9.521e+006,1.0093e+007,1.09045e+007,1.10815e+007,1.3018e+007
472,1.09993e+007,646048,1.0002e+007,1.0711e+007,1.1016e+007,1.14568e+007,1.2529e+007
474,1.1095e+007,527619,1.0001e+007,1.09035e+007,1.10365e+007,1.15198e+007,1.2086e+007
476,1.10256e+007,485368,1.0053e+007,1.1003e+007,1.1037e+007,1.1085e+007,1.2528e+007
478,1.12759e+007,566210,1.0509e+007,1.0997e+007,1.1038e+007,1.15465e+007,1.2562e+007
480,1.11612e+007,498906,1.0012e+007,1.10115e+007,1.1027e+007,1.14855e+007,1.2527e+007
482,1.15598e+007,698260,1.0023e+007,1.10192e+007,1.1506e+007,1.20188e+007,1.269e+007
484,1.2005e+007,1.11431e+006,1.0964e+007,1.1151e+007,1.1979e+007,1.20618e+007,1.555e+007
486,1.15917e+007,569532,1.0489e+007,1.10295e+007,1.1521e+007,1.20245e+007,1.257e+007
488,1.1576e+007,427560,1.0971e+007,1.10652e+007,1.15435e+007,1.20105e+007,1.2514e+007
490,1.1919e+007,624204,1.1008e+007,1.15112e+007,1.1997e+007,1.2172e+007,1.3525e+007
492,1.18178e+007,519403,1.1015e+007,1.15125e+007,1.18665e+007,1.20332e+007,1.3016e+007
494,1.20002e+007,539078,1.1025e+007,1.15098e+007,1.2034e+007,1.2515e+007,1.3557e+007
496,1.18212e+007,553865,1.1002e+007,1.14755e+007,1.198e+007,1.20688e+007,1.2948e+007
498,1.23872e+007,909423,1.1012e+007,1.20145e+007,1.2283e+007,1.25335e+007,1.5541e+007
500,1.20747e+007,503544,1.1016e+007,1.19175e+007,1.20385e+007,1.25148e+007,1.3034e+007
502,1.23415e+007,448282,1.1504e+007,1.2022e+007,1.21835e+007,1.2531e+007,1.3514e+007
504,1.2512e+007,697537,1.0985e+007,1.2039e+007,1.2529e+007,1.30715e+007,1.3609e+007
506,1.30101e+007,1.25811e+006,1.196e+007,1.20705e+007,1.2554e+007,1.30428e+007,1.7559e+007
508,1.29324e+007,574896,1.1527e+007,1.25338e+007,1.30215e+007,1.3449e+007,1.4024e+007
510,1.2952e+007,567779,1.1502e+007,1.25238e+007,1.3023e+007,1.31648e+007,1.4228e+007
512,1.30433e+007,891065,1.2017e+007,1.25212e+007,1.30145e+007,1.34412e+007,1.5596e+007
