n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
452,1.03593e+06,38453.9,989669,1.00652e+06,1.02636e+06,1.05358e+06,1.1358e+06
454,1.07161e+06,19767,1.04898e+06,1.05848e+06,1.06633e+06,1.07941e+06,1.12667e+06
456,1.07865e+06,25321,1.05216e+06,1.06694e+06,1.0752e+06,1.08354e+06,1.19922e+06
458,1.0852e+06,19177.3,1.04139e+06,1.07741e+06,1.08008e+06,1.09211e+06,1.13272e+06
460,1.09898e+06,40505.2,1.05022e+06,1.07951e+06,1.0926e+06,1.1033e+06,1.27423e+06
462,1.10426e+06,30406.3,1.0615e+06,1.08808e+06,1.10076e+06,1.11694e+06,1.19245e+06
464,1.12287e+06,36623.4,1.06869e+06,1.10794e+06,1.11461e+06,1.13601e+06,1.28593e+06
466,1.09904e+06,34393.1,1.05196e+06,1.06874e+06,1.09183e+06,1.12387e+06,1.17069e+06
468,1.27067e+06,294877,1.02086e+06,1.11163e+06,1.15473e+06,1.24137e+06,2.02459e+06
470,1.10476e+06,76210.4,1.02076e+06,1.07371e+06,1.08008e+06,1.11902e+06,1.36228e+06
472,1.11434e+06,57109,1.03821e+06,1.08703e+06,1.09332e+06,1.10704e+06,1.28234e+06
474,1.18784e+06,113067,1.0694e+06,1.10209e+06,1.13611e+06,1.23591e+06,1.49497e+06
476,1.24691e+06,403314,1.09465e+06,1.11253e+06,1.14298e+06,1.22582e+06,3.40278e+06
478,1.13437e+06,57380,1.07813e+06,1.10583e+06,1.11887e+06,1.13072e+06,1.33098e+06
480,1.35896e+06,352614,1.08808e+06,1.14775e+06,1.17172e+06,1.41593e+06,2.11818e+06
482,1.20016e+06,19996.2,1.14976e+06,1.18732e+06,1.20312e+06,1.21112e+06,1.24971e+06
484,1.21812e+06,61784.7,1.16966e+06,1.19604e+06,1.2064e+06,1.21741e+06,1.53725e+06
486,1.2448e+06,129897,1.1046e+06,1.20273e+06,1.21497e+06,1.23313e+06,1.76076e+06
488,1.67184e+06,110805,1.53366e+06,1.6e+06,1.64438e+06,1.75652e+06,1.92166e+06
490,1.22862e+06,78963.9,1.13447e+06,1.17372e+06,1.19876e+06,1.27739e+06,1.40928e+06
492,1.28342e+06,124292,1.21656e+06,1.22857e+06,1.23442e+06,1.261e+06,1.79021e+06
494,1.26637e+06,97692.7,1.17315e+06,1.19924e+06,1.22672e+06,1.30815e+06,1.61257e+06
496,1.24396e+06,44301.4,1.17931e+06,1.20522e+06,1.24211e+06,1.26685e+06,1.37172e+06
498,1.23583e+06,41784.5,1.20055e+06,1.21382e+06,1.22205e+06,1.2375e+06,1.40046e+06
500,1.24679e+06,56940,1.21133e+06,1.22282e+06,1.22698e+06,1.23162e+06,1.4572e+06
502,1.26338e+06,84997.8,1.16402e+06,1.22041e+06,1.23575e+06,1.28136e+06,1.51446e+06
504,1.28565e+06,79383,1.1828e+06,1.23888e+06,1.25289e+06,1.29227e+06,1.4727e+06
506,1.30079e+06,90925.8,1.21061e+06,1.24958e+06,1.26648e+06,1.326e+06,1.67907e+06
508,1.30716e+06,96458,1.19368e+06,1.25702e+06,1.27023e+06,1.32883e+06,1.657e+06
510,1.31105e+06,69980.1,1.21399e+06,1.27416e+06,1.28136e+06,1.32267e+06,1.52883e+06
512,1.31244e+06,59351.1,1.23626e+06,1.282e+06,1.29542e+06,1.31179e+06,1.53714e+06
