n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
436,4.46241e+06,194584,4.1266e+06,4.31328e+06,4.50289e+06,4.55636e+06,4.9618e+06
438,4.54086e+06,177282,4.13358e+06,4.51659e+06,4.58602e+06,4.6339e+06,4.86163e+06
440,4.49935e+06,227987,4.18089e+06,4.26923e+06,4.49801e+06,4.68539e+06,4.94363e+06
442,4.38077e+06,236861,4.06184e+06,4.19513e+06,4.35439e+06,4.51528e+06,5.12395e+06
444,4.49801e+06,163327,4.24226e+06,4.3636e+06,4.48108e+06,4.62481e+06,4.8214e+06
446,4.80518e+06,72687.1,4.66509e+06,4.76713e+06,4.80205e+06,4.85242e+06,4.92721e+06
448,4.56605e+06,273029,4.22461e+06,4.36852e+06,4.52203e+06,4.67025e+06,5.56094e+06
450,4.7133e+06,325431,4.39364e+06,4.44293e+06,4.64806e+06,4.85339e+06,5.63453e+06
452,4.7934e+06,746550,4.30846e+06,4.46825e+06,4.52547e+06,4.78994e+06,8.2845e+06
454,4.87604e+06,174889,4.46743e+06,4.85021e+06,4.91074e+06,4.97555e+06,5.1495e+06
456,4.78591e+06,283865,4.3844e+06,4.58117e+06,4.68085e+06,4.98963e+06,5.68307e+06
458,4.79305e+06,240689,4.52367e+06,4.59993e+06,4.73293e+06,4.90999e+06,5.49895e+06
460,4.77218e+06,184832,4.4543e+06,4.64788e+06,4.70404e+06,4.86407e+06,5.16818e+06
462,4.93515e+06,359911,4.62979e+06,4.69668e+06,4.83489e+06,5.08546e+06,6.36586e+06
464,5.02712e+06,372607,4.68696e+06,4.72908e+06,4.91777e+06,5.23096e+06,6.28211e+06
466,6.69414e+06,2.61723e+06,4.69383e+06,4.9345e+06,5.13385e+06,8.06762e+06,1.442e+07
468,5.99325e+06,1.47368e+06,4.9817e+06,5.25524e+06,5.31309e+06,5.60753e+06,9.90984e+06
470,5.35867e+06,95689.6,5.24587e+06,5.29821e+06,5.33849e+06,5.36959e+06,5.6765e+06
472,5.3646e+06,98347.2,5.19466e+06,5.27445e+06,5.37051e+06,5.41731e+06,5.57562e+06
474,5.29536e+06,201891,4.79769e+06,5.28107e+06,5.32962e+06,5.43248e+06,5.579e+06
476,5.10791e+06,233771,4.673e+06,4.9514e+06,5.02568e+06,5.23463e+06,5.6843e+06
478,5.26304e+06,357736,4.91602e+06,5.01062e+06,5.14535e+06,5.34591e+06,6.39141e+06
480,5.45375e+06,617401,4.86122e+06,5.1144e+06,5.28913e+06,5.43496e+06,7.09935e+06
482,5.48518e+06,236124,5.00223e+06,5.41798e+06,5.54888e+06,5.61495e+06,5.84286e+06
484,5.76435e+06,1.04302e+06,5.08074e+06,5.14835e+06,5.45031e+06,5.7996e+06,1.01584e+07
486,5.72473e+06,135397,5.53118e+06,5.64918e+06,5.70236e+06,5.76951e+06,6.08578e+06
488,5.5137e+06,265235,5.02973e+06,5.28318e+06,5.57972e+06,5.69015e+06,6.305e+06
490,5.51996e+06,253480,4.93901e+06,5.34016e+06,5.58075e+06,5.74136e+06,5.86985e+06
492,5.49231e+06,262164,5.08864e+06,5.30268e+06,5.42188e+06,5.6247e+06,6.24917e+06
494,5.4447e+06,248529,5.09449e+06,5.29426e+06,5.34347e+06,5.60974e+06,6.07798e+06
496,5.48717e+06,195501,5.18819e+06,5.33972e+06,5.41418e+06,5.60407e+06,6.03303e+06
498,5.64706e+06,326224,5.24803e+06,5.39417e+06,5.54293e+06,5.85738e+06,6.50092e+06
500,5.64167e+06,241143,5.34953e+06,5.45765e+06,5.57177e+06,5.77677e+06,6.16163e+06
502,5.65654e+06,240176,5.31699e+06,5.48936e+06,5.57336e+06,5.87214e+06,6.18995e+06
504,5.70079e+06,230036,5.28815e+06,5.53521e+06,5.61703e+06,5.84066e+06,6.18215e+06
506,5.76198e+06,263599,5.52246e+06,5.58837e+06,5.64371e+06,5.92112e+06,6.72906e+06
508,5.84306e+06,258494,5.41798e+06,5.63345e+06,5.78765e+06,6.05815e+06,6.41953e+06
510,5.79706e+06,249284,5.44436e+06,5.65926e+06,5.70708e+06,5.95273e+06,6.42405e+06
512,5.94522e+06,250869,5.46386e+06,5.72989e+06,5.94246e+06,6.15106e+06,6.38094e+06
