n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
258,57914.8,3416.06,54442,56162.2,57009.5,58884.5,70157
260,61567.9,9771.32,50128,56367.5,57215.5,62838.8,95633
262,57751,5165.95,52387,55032.2,56188,57805.8,74061
264,60110.5,8699.04,54545,56265.2,57215.5,58678,91420
266,56666.1,1549.52,53414,55622.8,57010,57857.5,59885
268,58078.5,5389.32,54133,56033.8,57318,57882.5,86285
270,57372.2,3431.66,53620,55083,56906.5,58216.2,73034
272,57747.9,3695.46,53928,56265.2,57266.5,58011,73650
274,57860.2,4188.86,53209,55776.8,56239,58730.2,71391
276,56865.1,1672.21,53928,55649,56444.5,58473.8,60502
